lead_id,campaign_id,company_name,domain,website,country,city,address,industry,company_description,company_type,buyer_fit_score,buyer_fit_reason,company_quality_score,buying_signal_score,total_score,score_reason,contact_name,contact_role,contact_email,email_status,phone,linkedin_or_public_profile_url,pain_signal,buying_signal,personalization_hook,source,source_url,scraped_at,outreach_ready,sequence_status,email_1_sent_at,followup_1_at,followup_2_at,reply_status
lead_394eb0863598,vendor-probe,While Geek,whilegeek.com,https://whilegeek.com/,Pakistan,Islamabad,"F1, Daud Plaza, Awan Market (Khayaban-e-Sirsyed), Rawalpindi, 46350",shop=computer,"While Geek Computer Hardware, Laptops, Gaming Zone and Software Development Services - Best Gaming and Tech Store in Pakistan.",BUYER,65,"discovery category 'shop=computer' matches campaign target; vendor terms in company identity: software development; buyer terms in company identity: store, shop; buyer terms in page text: retailer, brand, online store, electronics",15,7,89,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, shop, retailer, brand; only a generic business mailbox is public; ecommerce platform detected: woocommerce; buying signals: ecommerce_active, operations_scale",,,contact@whilegeek.com,generic,+92 306 130 1661,,,ecommerce_active: add to cart; operations_scale: nationwide,based in Islamabad; sells online; operates multiple branches/outlets; runs on woocommerce,osm,https://www.openstreetmap.org/node/12673642511,2026-09-17T12:56:56+00:00,true,not_queued,,,,
lead_651a33e15ffd,vendor-probe,The BRIDGE Tutoring,gettutor.pk,https://gettutor.pk/,Pakistan,Islamabad,,office=company,Find expert home & online tutors in Pakistan for all subjects. Connect with verified private tutors today at GetTutor.pk.,BUYER,44,discovery category 'office=company' matches campaign target,15,4,71,in target country (Pakistan); in target city (Islamabad); quality notes: website does not appear to belong to this company; decision-maker found: Excellence ((Optional: Add founder/team bios with photos for trust-building)); only a generic business mailbox is public; ecommerce platform detected: woocommerce; buying signals: operations_scale; held for review: website may belong to a different company,Excellence,(Optional: Add founder/team bios with photos for trust-building),info@gettutor.pk,generic,+92 325 8222 219,https://www.linkedin.com/in/gettutorpk,,operations_scale: across pakistan,based in Islamabad; operates multiple branches/outlets; runs on woocommerce,osm,https://www.openstreetmap.org/node/6199023286,2026-09-17T12:56:05+00:00,false,not_queued,,,,
lead_38b7998c17ac,vendor-probe,"Geoengineers, Islamabad",geoengineers.pk,https://geoengineers.pk/,Pakistan,Islamabad,"Islamabad Expressway, Geohouse, Sohan, Islamabad Expressway, near Faizabad, Islamabad",office=consulting,"GEOENGINEERS is offering Geotechnical Investigations, Drilling & Grouting, Geological Mapping, Topographic Survey and allied technical services since 1997.",BUYER,40,discovery category 'office=consulting' matches campaign target; vendor terms in page text: consulting; buyer evidence outweighs weaker vendor mentions,15,2,67,"in target country (Pakistan); in target city (Islamabad); minor vendor mentions present: consulting, our clients; decision-maker found: Abdul Shakoor (CEO / MSc Geology GEOENGINEERS); buying signals: hiring",Abdul Shakoor,CEO / MSc Geology GEOENGINEERS,geohouse2006@gmail.com,mx_valid,+92-51-2613232,https://linkedin.com/company/geoengineers-islamabad,,hiring: careers,based in Islamabad; currently hiring,osm,https://www.openstreetmap.org/node/10873176616,2026-09-17T12:56:43+00:00,false,not_queued,,,,
lead_9cd49ad0de0b,vendor-probe,Bentley Systems Pakistan,bentley.com,https://www.bentley.com/,Pakistan,Islamabad,"Agha Khan Road, اسلام آباد",office=it,"Providing architects, engineers, constructors, and owner-operators with comprehensive architecture and engineering solutions for advancing infrastructure.",BUYER,44,discovery category 'office=it' matches campaign target,12,8,66,"in target country (Pakistan); in target city (Islamabad); quality notes: no public contact details; no usable email; buying signals: hiring, expansion, ecommerce_active",,,,none,+92 51 287 2639,https://www.linkedin.com/company/bentley-systems,,hiring: careers; expansion: expanding; ecommerce_active: checkout,based in Islamabad; sells online; currently hiring; recently expanding,osm,https://www.openstreetmap.org/node/2038560508,2026-09-17T12:56:04+00:00,false,not_queued,,,,
lead_9433f246740e,vendor-probe,Attock Gen Limited,agl.com.pk,https://www.agl.com.pk/,Pakistan,Islamabad,,office=company,"Skip to content Menu Close Search for: Search for: Home Corporate Attock Group Project Details Careers Contact Menu Corporate Office: 5th Floor, Attock House Morgah, Rawalpindi. Pakistan Corporate Office: 5th Floor, Attock House Morgah, Rawalpindi. Pakistan Search for: Home Corporate Attock Group Pr",BUYER,44,discovery category 'office=company' matches campaign target,13,2,61,in target country (Pakistan); in target city (Islamabad); no usable email; buying signals: hiring,,,,none,+92 (0)51 5406001-3,https://www.linkedin.com/company/attock-gen-limited,,hiring: careers,based in Islamabad; currently hiring,osm,https://www.openstreetmap.org/node/10132593087,2026-09-17T12:56:34+00:00,false,not_queued,,,,
lead_b5b8d84771f7,vendor-probe,Agnitus,agnitus.com,http://agnitus.com/,Pakistan,Islamabad,اسلام آباد,office=it,100+ great educational apps for kids and gives you the ability to track your child's progress with a wide variety of reports.,BUYER,44,discovery category 'office=it' matches campaign target,10,5,59,"in target country (Pakistan); in target city (Islamabad); quality notes: no https; no public contact details; no usable email; buying signals: hiring, expansion",,,,none,,,,hiring: careers; expansion: expanding,based in Islamabad; currently hiring; recently expanding,osm,https://www.openstreetmap.org/node/2653586503,2026-09-17T12:55:58+00:00,false,not_queued,,,,
lead_f9b1765cdeaf,vendor-probe,AAN TV,aan.tv,https://www.aan.tv/,Pakistan,Islamabad,"MGC Complex, G8 Markaz Road, Islamabad, 44080",office=company,,BUYER,44,discovery category 'office=company' matches campaign target,12,0,56,in target country (Pakistan); in target city (Islamabad); quality notes: no public contact details; very thin homepage content; no usable email,,,,none,+92 (51) 8855111,,,,based in Islamabad,osm,https://www.openstreetmap.org/node/11459329899,2026-09-17T12:56:41+00:00,false,not_queued,,,,
lead_cd424d5884cf,vendor-probe,Buzzware Tech,buzzwaretech.com,https://www.buzzwaretech.com/,Pakistan,Islamabad,"block 18c, pha c type, اسلام آباد, 44000",office=it,,BUYER,44,discovery category 'office=it' matches campaign target,7,0,51,in target country (Pakistan); in target city (Islamabad); quality notes: single-page site; no public contact details; very thin homepage content; no usable email,,,,none,+92315586881,,,,based in Islamabad,osm,https://www.openstreetmap.org/node/9167666149,2026-09-17T12:56:15+00:00,false,not_queued,,,,
lead_96cbc7f07db0,vendor-probe,South Asian Sourcing Pvt Ltd,sourcing.com.pk,http://www.sourcing.com.pk/portal/,Pakistan,Islamabad,"1-4, Street 149, اسلام آباد, 44000",office=company,Twitter Facebook LinkedIn Skype YouTube +92-51-2-300-300 Free enquiry About Us Our Services Projects Contact Us Photo Galleries About Us Our Services Projects Contact Us Photo Galleries About Us Our Services Projects Contact Us Photo Galleries 01 WORK WITH WORLD CLASS EXPERTS FOR YOUR NEXT PROJECT S,VENDOR,20,"discovery category 'office=company' matches campaign target; vendor terms in company identity: consultancy; vendor terms in page text: agency, consulting, consultants",13,7,49,"classified as VENDOR: rejected regardless of score; in target country (Pakistan); in target city (Islamabad); quality notes: no https; decision-maker found: Philip Wilson (CEO); ecommerce platform detected: woocommerce; buying signals: hiring, expansion",Philip Wilson,CEO,info@sourcing.com.pk,unverified,+92 (0)51 2 300 300,https://www.linkedin.com/in/south-asian-sourcing-89514414b,,hiring: careers; expansion: expanding,based in Islamabad; currently hiring; recently expanding; runs on woocommerce,osm,https://www.openstreetmap.org/node/8074834728,2026-09-17T12:56:18+00:00,false,not_queued,,,,
lead_d69116067e27,vendor-probe,Touchstone Communications,touchstonebpo.com,https://www.touchstonebpo.com/,Pakistan,Islamabad,"212, Agha Khan Road, اسلام آباد, 44000",office=it,,BUYER,44,discovery category 'office=it' matches campaign target,0,0,47,in target country (Pakistan); in target city (Islamabad); website unreachable; quality notes: website unreachable (status_403); no public contact details,,,salman.masud@jintech.com,mx_valid,+1 817 900 8030,,,,based in Islamabad,osm,https://www.openstreetmap.org/node/2038560534,2026-09-17T12:55:54+00:00,false,not_queued,,,,
lead_8fc6ade277b1,vendor-probe,PRINT BANK,printbank.shop,http://www.printbank.shop/,Pakistan,Islamabad,"1047, Saidpur Road, 54000",office=company,,BUYER,44,discovery category 'office=company' matches campaign target,0,0,47,in target country (Pakistan); in target city (Islamabad); website unreachable; quality notes: website unreachable (http_error:ConnectError); no public contact details,,,chaudaryraheel@gmail.com,mx_valid,0514570721,,,,based in Islamabad,osm,https://www.openstreetmap.org/node/4992944223,2026-09-17T12:55:57+00:00,false,not_queued,,,,
lead_ae8a0e096e90,vendor-probe,InductIN,glof2.pk,https://glof2.pk/,Pakistan,Islamabad,"NIST university gate-1, Faiz Ahmed Faiz Road, Isalamabad, 46000",office=company,,BUYER,44,discovery category 'office=company' matches campaign target,0,0,47,in target country (Pakistan); in target city (Islamabad); website unreachable; quality notes: website unreachable (http_error:ConnectError); no public contact details,,,alentour.events@gmail.com,mx_valid,+92 332 5427434,,,,based in Islamabad,osm,https://www.openstreetmap.org/node/8063582258,2026-09-17T12:56:13+00:00,false,not_queued,,,,
lead_76ad16587f46,vendor-probe,Faheem House,000webhostapp.com,https://faheemahmad.000webhostapp.com/,Pakistan,Islamabad,"cb 750/1, pia colonny misrial road, راولپنڈی, 46000",office=it,,BUYER,44,discovery category 'office=it' matches campaign target,0,0,47,in target country (Pakistan); in target city (Islamabad); website unreachable; quality notes: website unreachable (http_error:ConnectError); no public contact details,,,fisforfaheem@gmail.com,mx_valid,+923431530052,,,,based in Islamabad,osm,https://www.openstreetmap.org/node/6646466163,2026-09-17T12:56:31+00:00,false,not_queued,,,,
