lead_id,campaign_id,company_name,domain,website,country,city,address,industry,company_description,company_type,buyer_fit_score,buyer_fit_reason,company_quality_score,buying_signal_score,total_score,score_reason,contact_name,contact_role,contact_email,email_status,phone,linkedin_or_public_profile_url,pain_signal,buying_signal,personalization_hook,source,source_url,scraped_at,outreach_ready,sequence_status,email_1_sent_at,followup_1_at,followup_2_at,reply_status
lead_82b65a538c5d,apparel-clothing-retail-islamabad,Zellbury Centaurus Mall,zellbury.com,https://zellbury.com/,Pakistan,Blue Area,"Shop # 366/367, 3rd Floor, Atrium 1, Centaurus Mall 70 Nazim-ud-din Road",overture=clothing_store,"Online Fashion Shopping in Pakistan made fabulous and trendy by ZELLBURY. One-stop online fashion store for Men, Women and Kids Clothing. Top up your wardrobe with our new arrivals. Next-Day Delivery in 50 cities. Order Now!",BUYER,65,"discovery category 'overture=clothing_store' matches campaign target; buyer terms in company identity: clothing, fashion; buyer terms in page text: retail, apparel; buyer evidence outweighs weaker vendor mentions",15,10,92,"in target country (Pakistan); in target city (Blue Area); 4 ICP term(s) matched: clothing, fashion, retail, apparel; minor vendor mentions present: trusted by; intent match (95%): Zellbury is an online clothing retailer with extensive inventory, needing software to manage stock and replenishment.; only a generic business mailbox is public; ecommerce platform detected: shopify; buying signals: hiring, ecommerce_active, operations_scale",,,customer.care@zellbury.com,generic,+92-21-38402072,,,"hiring: careers; ecommerce_active: shop now, checkout; operations_scale: outlets, nationwide",based in Blue Area; sells online; operates multiple branches/outlets; currently hiring; runs on shopify,overture,https://explore.overturemaps.org/#919752fc-001c-4900-b5e3-338725fa6dc9,2026-09-26T13:42:08+00:00,true,not_queued,,,,
lead_f6ce0a1e6fbe,apparel-clothing-retail-islamabad,Unze London,unze.com.pk,https://unze.com.pk/,Pakistan,Blue Area,"Shop No 355, 3rd Floor, The Centaurus Mall",overture=shoe_store,Buy Unze London Women's Shoes online at Unze.Com.Pk. Large selection of Women's Shoes by Unze London. Order now. Buy Online Women Shoes in Pakistan. Shop Now.,BUYER,65,"discovery category 'overture=shoe_store' matches campaign target; buyer terms in company identity: clothing; buyer terms in page text: retail, apparel, fashion",12,10,87,"in target country (Pakistan); in target city (Blue Area); 4 ICP term(s) matched: clothing, retail, apparel, fashion; quality notes: no public contact details; intent match (92%): Unze London is an online shoe retailer with warehouses, needing inventory and replenishment management for apparel sales.; no usable email; ecommerce platform detected: shopify; buying signals: hiring, expansion, operations_scale",,,,none,+92512701550,,,"hiring: careers; expansion: new store; operations_scale: across pakistan, warehouse",based in Blue Area; operates multiple branches/outlets; currently hiring; recently expanding; runs on shopify,overture,https://explore.overturemaps.org/#1a1b6aeb-8928-4da7-b51a-f2920344a153,2026-09-26T13:42:21+00:00,false,not_queued,,,,
lead_c20b68698b4b,apparel-clothing-retail-islamabad,Fairy Tale Attire,fairytaleattire.shop,https://fairytaleattire.shop/,Pakistan,Blue Area,I-10 Markaz,overture=womens_clothing_store,"Fairy Tale Attire is an online clothing store Pakistan offering lawn suits, embroidered dresses, coord sets, abayas and luxury bedsheets with delivery across Pakistan.",BUYER,60,"discovery category 'overture=womens_clothing_store' matches campaign target; buyer terms in company identity: clothing, fashion; buyer terms in page text: garments",15,8,87,"in target country (Pakistan); in target city (Blue Area); 3 ICP term(s) matched: clothing, fashion, garments; intent match (95%): Fairy Tale Attire is an online apparel retailer needing inventory and replenishment tools.; mobile number published (owner-level contact); ecommerce platform detected: woocommerce; young domain (1.4 y): new or recently relaunched business; buying signals: ecommerce_active, operations_scale",,,fairytaleattire.shop@gmail.com,mx_valid,+92 3335414366,,,"ecommerce_active: add to cart, shop now; operations_scale: nationwide",based in Blue Area; sells online; operates multiple branches/outlets; runs on woocommerce; recently launched online,overture,https://explore.overturemaps.org/#c4482fe8-5e3f-4972-b8e2-3a93ce8953b8,2026-09-26T13:44:25+00:00,true,not_queued,,,,
lead_ff3b737a722d,apparel-clothing-retail-islamabad,Mohsin Sons,mohsinsons.pk,https://mohsinsons.pk/,Pakistan,F-7 Jinnah Super,"Ammar Centre, Jinnah Super Market",overture=clothing_store,Discover the Ultimate Wedding and Party Wear Range. Discover Our Unique Offerings Discover your unique style at Mohsin Sons. Find the perfect outfit and accessories to reflect your individuality. Trendsetting Fashion for All Find your perfect style with our fashionable clothing collection. Party Wear Collection Elevate your style with unique wear for every occasion. Men's,BUYER,65,"discovery category 'overture=clothing_store' matches campaign target; buyer terms in company identity: boutique, clothing, fashion; buyer terms in page text: retail; buyer evidence outweighs weaker vendor mentions",12,5,85,"in target country (Pakistan); in target city (F-7 Jinnah Super); 4 ICP term(s) matched: boutique, clothing, fashion, retail; minor vendor mentions present: portfolio; intent match (92%): Mohsin Sons is a clothing boutique with 5,000+ items, implying a need for inventory and replenishment management.; buying signals: ecommerce_active, operations_scale",,,mohsinsons1947@yahoo.com,mx_valid,051-4851192,,,ecommerce_active: shop now; operations_scale: branches,based in F-7 Jinnah Super; sells online; operates multiple branches/outlets,overture,https://explore.overturemaps.org/#4d73401e-4817-4606-b2b4-5af58b79db54,2026-09-26T13:41:13+00:00,true,not_queued,,,,
lead_2eae3703a148,apparel-clothing-retail-islamabad,Swankk,billionairesvillage.co.uk,https://billionairesvillage.co.uk/,Pakistan,Blue Area,"Shop#13, Ground Floor, Beverly Centre",overture=fashion_accessories_store,"Shop 100% authentic luxury designer fashion at Billionaires Village UK. Discover designer shoes, clothing, bags, perfumes and accessories from leading luxury brands.",BUYER,60,"discovery category 'overture=fashion_accessories_store' matches campaign target; buyer terms in company identity: clothing, fashion; buyer terms in page text: apparel",15,6,83,"in target country (Pakistan); in target city (Blue Area); 3 ICP term(s) matched: clothing, fashion, apparel; quality notes: website does not appear to belong to this company; intent match (90%): Swankk is a luxury fashion retailer, so inventory & replenishment software is needed for its apparel sales.; only a generic business mailbox is public; mobile number published (owner-level contact); ecommerce platform detected: shopify; young domain (0.0 y): new or recently relaunched business; buying signals: ecommerce_active; held for review: website may belong to a different company",,,marketing@swankk.pk,generic,+923111100282,,,ecommerce_active: checkout,based in Blue Area; sells online; runs on shopify; recently launched online,overture,https://explore.overturemaps.org/#9652baa2-dbdc-49e1-9878-c7f2887ba87f,2026-09-26T13:45:10+00:00,false,not_queued,,,,
lead_bd48652160c3,apparel-clothing-retail-islamabad,Neelo,neelopret.com,https://www.neelopret.com/,Pakistan,F-10 Markaz,"Shop 2, Pak Plaza",overture=clothing_store,Ready to wear and much more,BUYER,60,"discovery category 'overture=clothing_store' matches campaign target; buyer terms in company identity: clothing brand, clothing, fashion",15,4,82,"in target country (Pakistan); in target city (F-10 Markaz); 3 ICP term(s) matched: clothing brand, clothing, fashion; intent match (90%): Neelo is a ready‑to‑wear clothing brand, implying a need for inventory and replenishment management.; ecommerce platform detected: shopify; buying signals: ecommerce_active",,,neelopret@gmail.com,mx_valid,051-8742244,,,ecommerce_active: shop now,based in F-10 Markaz; sells online; runs on shopify,overture,https://explore.overturemaps.org/#9a6a1b77-e62b-4de9-bb87-5a835af1afb4,2026-09-26T13:40:11+00:00,true,not_queued,,,,
lead_8d55dee4084f,apparel-clothing-retail-islamabad,Stylo,stylo.pk,https://int.stylo.pk/?shpxid=c0ca9bd9-78aa-4b9b-9bbf-2749fa301722,Pakistan,F-10 Markaz,"Store # 1043, F-10 Markaz,Unit # 1 Sajid Plaza, Islamabad Islamabad 2",overture=shoe_store,Stylo is Pakistan’s leading ladies shoe brand since 1974 offering modern quality footwear at great prices with a loyal customer base across the country.,BUYER,55,"discovery category 'overture=shoe_store' matches campaign target; buyer terms in page text: apparel, fashion",15,8,82,"in target country (Pakistan); in target city (F-10 Markaz); 2 ICP term(s) matched: apparel, fashion; intent match (92%): Stylo is a shoe and apparel retailer/brand with online sales, implying a need for inventory and replenishment management.; only a generic business mailbox is public; ecommerce platform detected: shopify; buying signals: ecommerce_active, operations_scale; pain signals: delivery_issues",,,care@stylo.pk,generic,+92-42-111-178-956,https://www.linkedin.com/company/stylo-pvt-ltd,delivery_issues: order tracking,"ecommerce_active: shop now, checkout; operations_scale: outlets",based in F-10 Markaz; sells online; operates multiple branches/outlets; runs on shopify,overture,https://explore.overturemaps.org/#c902cbe6-bfeb-4045-9c8c-ad72d6caf01d,2026-09-26T13:40:27+00:00,true,not_queued,,,,
lead_8ff4e6e538f9,apparel-clothing-retail-islamabad,Nxtwears,nxtwears.com,https://www.nxtwears.com/,Pakistan,Blue Area,,overture=clothing_store,"Shop premium quality tracksuits, Men's short sets, and t-shirts from Nxtwears. Experience comfort, style, and perfect fit all in one place.",BUYER,60,"discovery category 'overture=clothing_store' matches campaign target; buyer terms in page text: clothing, apparel, fashion; buyer evidence outweighs weaker vendor mentions",12,8,82,"in target country (Pakistan); in target city (Blue Area); 3 ICP term(s) matched: clothing, apparel, fashion; quality notes: no public contact details; minor vendor mentions present: trusted by; intent match (95%): Nxtwears is a clothing brand selling online; inventory and replenishment management is essential for their retail operations.; only a generic business mailbox is public; mobile number published (owner-level contact); ecommerce platform detected: shopify; young domain (1.4 y): new or recently relaunched business; buying signals: ecommerce_active, operations_scale",,,info@nxtwears.com,generic,+923335223695,,,"ecommerce_active: shop now, cash on delivery; operations_scale: nationwide",based in Blue Area; sells online; operates multiple branches/outlets; runs on shopify; recently launched online,overture,https://explore.overturemaps.org/#d0f50ec6-4e5a-4b27-836b-90c7be6011cc,2026-09-26T13:41:43+00:00,true,not_queued,,,,
lead_a0c23302df2b,apparel-clothing-retail-islamabad,Monarchy,monarchy.pk,https://www.monarchy.pk/,Pakistan,Blue Area,"Shop # 3 ground floor، Mujahid plaza, Jinnah Ave، next to Soneri Bank",overture=mens_clothing_store,"Discover Monarchy, a luxury men’s clothing brand in Pakistan blending traditional craftsmanship with modern style. Explore premium sherwanis, formal wear, and casual outfits designed for elegance and comfort.",BUYER,60,"discovery category 'overture=mens_clothing_store' matches campaign target; buyer terms in company identity: clothing brand, clothing; buyer terms in page text: fashion",12,7,80,"in target country (Pakistan); in target city (Blue Area); 3 ICP term(s) matched: clothing brand, clothing, fashion; intent match (95%): Monarchy is a clothing retailer/brand with an online store, implying a need for inventory and replenishment management.; mobile number published (owner-level contact); ecommerce platform detected: shopify; buying signals: ecommerce_active, operations_scale",,,,none,0327-0373337,,,"ecommerce_active: checkout, free shipping; operations_scale: across pakistan",based in Blue Area; sells online; operates multiple branches/outlets; runs on shopify,overture,https://explore.overturemaps.org/#4934ab0f-2e6b-4d49-8732-88b7c9136bc4,2026-09-26T13:43:29+00:00,false,not_queued,,,,
lead_cb56f4a72579,apparel-clothing-retail-islamabad,1st Step Liaquatabad,1ststep.pk,https://1ststep.pk/,Pakistan,F-6 Super Market,"Block 3 Liaquatabad Town, Karachi, Karachi City, Sindh 74000, Pakistan, Karachi",shop=shoes,"1st Step brings the best Pakistani shoes & bag brands. Shop dress shoes, loafers, mens sandals, ladies shoes, wedding shoes handbags & trolley bags.",BUYER,55,discovery category 'shop=shoes' matches campaign target; buyer terms in company identity: apparel; buyer terms in page text: retail,15,7,79,"in target country (Pakistan); in target city (F-6 Super Market); 2 ICP term(s) matched: apparel, retail; intent match (80%): 1st Step is a shoe/bag retailer, so it needs inventory and replenishment software for its own operations.; only a generic business mailbox is public; mobile number published (owner-level contact); ecommerce platform detected: shopify; buying signals: ecommerce_active, operations_scale",,,customercare@1ststep.pk,generic,0311 1178101,,,"ecommerce_active: shop now, free shipping; operations_scale: nationwide, across pakistan",based in F-6 Super Market; sells online; operates multiple branches/outlets; runs on shopify,osm,https://www.openstreetmap.org/node/12155447311,2026-09-26T13:41:14+00:00,true,not_queued,,,,
