lead_id,campaign_id,company_name,domain,website,country,city,address,industry,company_description,company_type,buyer_fit_score,buyer_fit_reason,company_quality_score,buying_signal_score,total_score,score_reason,contact_name,contact_role,contact_email,email_status,phone,linkedin_or_public_profile_url,pain_signal,buying_signal,personalization_hook,source,source_url,scraped_at,outreach_ready,sequence_status,email_1_sent_at,followup_1_at,followup_2_at,reply_status
lead_70375f2ebfef,clothing_brands_replenishment_001,Heart Beat Lawrencepur (Suiting & Fabric's),lawrencepur.com,https://lawrencepur.com/,Pakistan,Islamabad,Shop no 1/c Barkat plaza bank road Saddar Rawalpindi Bank Road Saddar,overture=clothing_store,"Shop men&#39;s formal suits, Shalwar Kameez and premium fabrics from Lawrencepur. Discover refined menswear and luxury tailoring for every occasion.",BUYER,65,"discovery category 'overture=clothing_store' matches campaign target; buyer terms in company identity: brand, shop, clothing; buyer terms in page text: store, retail",15,7,91,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: brand, shop, clothing, store; intent match (65%): Heart Beat Lawrencepur is a retail clothing brand with physical stores, likely needing inventory replenishment solutions.; only a generic business mailbox is public; mobile number published (owner-level contact); ecommerce platform detected: shopify; buying signals: ecommerce_active, operations_scale",,,customercare@lawrencepur.com,generic,0309-2220061,https://linkedin.com/company/lawrencepurofficial,,"ecommerce_active: shop now, checkout; operations_scale: across pakistan",based in Islamabad; sells online; operates multiple branches/outlets; runs on shopify,overture,https://explore.overturemaps.org/#81c7445a-54f2-465d-90db-2caec08dc2f2,2026-09-26T10:19:48+00:00,true,not_queued,,,,
lead_bb390e81cf51,clothing_brands_replenishment_001,Shan O Shoukat Apparels,shanoshoukatapparels.com,https://shanoshoukatapparels.com/,Pakistan,Islamabad,C-262 Iqbal Rd,overture=womens_clothing_store,Shano Shoukat Apparels,BUYER,60,"discovery category 'overture=womens_clothing_store' matches campaign target; buyer terms in page text: store, brand, shop",13,4,81,"in target country (Pakistan); in target city (Islamabad); 3 ICP term(s) matched: store, brand, shop; intent match (70%): Shan O Shoukat Apparels is a women's clothing retailer using Shopify, implying inventory needs and potential footfall.; mobile number published (owner-level contact); ecommerce platform detected: shopify; buying signals: ecommerce_active",,,shanoshoukatapparelspvtltd@gmail.com,mx_valid,+923209182355,,,"ecommerce_active: add to cart, shop now",based in Islamabad; sells online; runs on shopify,overture,https://explore.overturemaps.org/#3ba0a3e2-bbcf-4f39-89c8-ebf6542ca81a,2026-09-26T10:18:52+00:00,true,not_queued,,,,
lead_f445c2eeeab8,clothing_brands_replenishment_001,Image,image1993.com,https://pk.image1993.com/,Pakistan,Islamabad,CB998 Bank Rd,overture=clothing_store,"Discover IMAGE 1993, a leading Pakistani clothing store. Timeless fashion, premium Ready to Wear designs, seasonal collections & SALE await.",BUYER,60,"discovery category 'overture=clothing_store' matches campaign target; buyer terms in company identity: store, clothing; buyer terms in page text: brand",15,4,81,"in target country (Pakistan); in target city (Islamabad); 3 ICP term(s) matched: store, clothing, brand; intent match (80%): Image 1993 is a retail clothing brand that likely needs inventory replenishment solutions.; only a generic business mailbox is public; mobile number published (owner-level contact); ecommerce platform detected: shopify; buying signals: ecommerce_active",,,customerservice@image1993.com,generic,+92-308-3082222,,,ecommerce_active: track your order,based in Islamabad; sells online; runs on shopify,overture,https://explore.overturemaps.org/#180227c3-f38c-4ba7-9a58-74bb82401c88,2026-09-26T10:18:55+00:00,true,not_queued,,,,
lead_e1f2ee6aff9d,clothing_brands_replenishment_001,eLibas,elibas.com,https://elibas.com/,Pakistan,Islamabad,"Shop # 5-C, Basement, Babar Plaza, Gorden College Rd, opposite Savour Foods",overture=womens_clothing_store,eLibas,BUYER,50,discovery category 'overture=womens_clothing_store' matches campaign target; buyer terms in company identity: shop,13,2,69,in target country (Pakistan); in target city (Islamabad); 1 ICP term(s) matched: shop; intent match (70%): eLibas is a retail clothing store that likely needs inventory replenishment solutions.; mobile number published (owner-level contact); ecommerce platform detected: shopify,,,elibasofficial@gmail.com,mx_valid,+923355764267,,,,based in Islamabad; runs on shopify,overture,https://explore.overturemaps.org/#e920198d-94fb-470b-91cf-f422c1611e93,2026-09-26T10:18:25+00:00,false,not_queued,,,,
lead_e60c358ed12e,clothing_brands_replenishment_001,Get Smart Collection,getsmartcollection.com.pk,https://getsmartcollection.com.pk/,Pakistan,Islamabad,plot no 1 Block B pak PWD housing society main road opposite London park,overture=womens_clothing_store,Facebook Instagram Tumblr Summer Sale 2026 is live now! Summer Sale 2026 is live now! Summer Sale 2026 is live now! Summer Sale 2026 is live now! Summer Sale 2026 is live now! cart search help New Arrivals Shop Ready To Wear Groom’s Wear Waist Coat Safari Suits Suits Shalwar Kameez Kids Wear Fabric ,UNKNOWN,38,"discovery category 'overture=womens_clothing_store' matches campaign target; vendor terms in company identity: it services; buyer terms in company identity: shop; buyer terms in page text: store, clothing; buyer evidence outweighs weaker vendor mentions; intent: no evident need for the offer (90%) — Text shows custom tailoring focus, no mention of inventory, footfall, or need for replenishment solution.",15,6,61,"in target country (Pakistan); in target city (Islamabad); 3 ICP term(s) matched: shop, store, clothing; company type unknown: insufficient evidence; intent: no evident need (90%): Text shows custom tailoring focus, no mention of inventory, footfall, or need for replenishment solution.; only a generic business mailbox is public; mobile number published (owner-level contact); ecommerce platform detected: woocommerce; buying signals: ecommerce_active; pain signals: delivery_issues",,,info@getsmartcollection.com.pk,generic,+92 321 5329984,,delivery_issues: order tracking,"ecommerce_active: add to cart, shop now",based in Islamabad; sells online; runs on woocommerce,overture,https://explore.overturemaps.org/#7d4549fe-1987-4fc9-adc4-11b2e96ee869,2026-09-26T10:19:27+00:00,false,not_queued,,,,
lead_747b2e37931a,clothing_brands_replenishment_001,Lahore Cloth Depot,lahorecloth.com,https://lahorecloth.com/,Pakistan,Islamabad,Asghar Mall Rd,overture=clothing_store,"Buy original branded lawn suits, branded wedding dresses, casual and festive suits. Pakistani latest branded collections Maria B suits, Elan suits, Charizma suits, Zara Shahjahan suits, Zellbury suits, Limeligh suits and many other famous brands collections.",UNKNOWN,38,"discovery category 'overture=clothing_store' matches campaign target; buyer terms in company identity: shop; buyer terms in page text: store, clothing; intent: no evident need for the offer (90%) — Lahore Cloth Depot is a retailer, not a brand; offer targets Islamabad brands needing replenishment.",15,4,61,"in target country (Pakistan); in target city (Islamabad); 3 ICP term(s) matched: shop, store, clothing; company type unknown: insufficient evidence; intent: no evident need (90%): Lahore Cloth Depot is a retailer, not a brand; offer targets Islamabad brands needing replenishment.; mobile number published (owner-level contact); ecommerce platform detected: shopify; buying signals: ecommerce_active",,,%20lahoreclothdepotofficial@gmail.com,mx_valid,+92 318 966 6345,,,"ecommerce_active: add to cart, free shipping",based in Islamabad; sells online; runs on shopify,overture,https://explore.overturemaps.org/#e08108c3-8da8-4603-ae6c-8153a56ad43e,2026-09-26T10:19:36+00:00,false,not_queued,,,,
lead_c445ca24b933,clothing_brands_replenishment_001,Jan Fabrics,fb.com,http://www.fb.com/janfabrix,Pakistan,Islamabad,"Shop 43-GF, Khattak plaza, Gorden College Rd",overture=clothing_store,,BUYER,45,"discovery category 'overture=clothing_store' matches campaign target; website unavailable: discovery record alone is insufficient evidence; intent: needs the offer (80%) — Jan Fabrics is a clothing store, fitting the target of a retail replenishment solution.",0,0,49,"in target country (Pakistan); in target city (Islamabad); website unreachable; quality notes: website unreachable (robots_disallowed); no public contact details; intent match (80%): Jan Fabrics is a clothing store, fitting the target of a retail replenishment solution.; mobile number published (owner-level contact)",,,janfabrics@gmail.com,mx_valid,+923115544636,,,,based in Islamabad,overture,https://explore.overturemaps.org/#38fad4e4-69c1-4212-a0c3-f1fc8b802e45,2026-09-26T10:17:55+00:00,false,not_queued,,,,
lead_a1c65460110b,clothing_brands_replenishment_001,Fancy Cloth Centre,ali-market-clothes-and-fabric-wholesaler.business.site,https://ali-market-clothes-and-fabric-wholesaler.business.site/,Pakistan,Islamabad,B-11,overture=clothing_store,,BUYER,45,"discovery category 'overture=clothing_store' matches campaign target; website unavailable: discovery record alone is insufficient evidence; intent: needs the offer (80%) — Fancy Cloth Centre is a clothing store, a retail brand that would benefit from a replenishment solution.",0,0,49,"in target country (Pakistan); in target city (Islamabad); website unreachable; quality notes: website unreachable (status_404); no public contact details; intent match (80%): Fancy Cloth Centre is a clothing store, a retail brand that would benefit from a replenishment solution.; mobile number published (owner-level contact)",,,xsdeny@aol.com,mx_valid,+923009566592,,,,based in Islamabad,overture,https://explore.overturemaps.org/#24af857b-d559-4d20-96c4-7032bbed2c31,2026-09-26T10:18:05+00:00,false,not_queued,,,,
lead_d5fabc8177f9,clothing_brands_replenishment_001,Noon Styles,noonstyles.business.site,https://noonstyles.business.site/?utm_source=gmb&utm_medium=referral,Pakistan,Islamabad,"Noon Styles City Centre, Bank Rd",overture=clothing_store,,BUYER,45,"discovery category 'overture=clothing_store' matches campaign target; website unavailable: discovery record alone is insufficient evidence; intent: needs the offer (70%) — Noon Styles is a clothing store, likely needs inventory replenishment solutions.",0,0,49,"in target country (Pakistan); in target city (Islamabad); website unreachable; quality notes: website unreachable (status_404); no public contact details; intent match (70%): Noon Styles is a clothing store, likely needs inventory replenishment solutions.; mobile number published (owner-level contact)",,,noonstyles1@gmail.com,mx_valid,+923303566661,,,,based in Islamabad,overture,https://explore.overturemaps.org/#1f1dea52-94a4-41be-af89-fe6e49240227,2026-09-26T10:18:11+00:00,false,not_queued,,,,
lead_1d320cc140a1,clothing_brands_replenishment_001,AL-Arees,alarees.pk,https://alarees.pk/,Pakistan,Islamabad,"Shop# C-2, 2nd Floor, Gakhar Plaza, Bank Rd",overture=mens_clothing_store,,BUYER,45,"discovery category 'overture=mens_clothing_store' matches campaign target; website unavailable: discovery record alone is insufficient evidence; intent: needs the offer (90%) — AL‑Arees is a men’s clothing store, a retail brand likely needing replenishment solutions.",0,0,49,"in target country (Pakistan); in target city (Islamabad); website unreachable; quality notes: website unreachable (http_error:ConnectError); no public contact details; intent match (90%): AL‑Arees is a men’s clothing store, a retail brand likely needing replenishment solutions.; mobile number published (owner-level contact)",,,alareespakistan@gmail.com,mx_valid,+923365237780,,,,based in Islamabad,overture,https://explore.overturemaps.org/#9eb653fe-cba4-46c5-b866-228438a106e8,2026-09-26T10:18:36+00:00,false,not_queued,,,,
