lead_id,campaign_id,company_name,domain,website,country,city,address,industry,company_description,company_type,buyer_fit_score,buyer_fit_reason,company_quality_score,buying_signal_score,total_score,score_reason,contact_name,contact_role,contact_email,email_status,phone,linkedin_or_public_profile_url,pain_signal,buying_signal,personalization_hook,source,source_url,scraped_at,outreach_ready,sequence_status,email_1_sent_at,followup_1_at,followup_2_at,reply_status
lead_3f2a1ed3f3ff,retail-isb-001,Bata,bata.com.pk,https://www.bata.com.pk/,Pakistan,Islamabad,"Chandni Chowk Flyover, Main Murree Road, راولپنڈی",shop=shoes,"Discover Bata – Pakistan's Favorite Footwear Brand and trusted destination for premium quality footwear, bags, and accessories for men, women, and children. Explore timeless designs, exceptional comfort, and nationwide delivery. Shop online or visit your nearest Bata store today.",BUYER,65,"discovery category 'shop=shoes' matches campaign target; buyer terms in company identity: store, brand, shop; buyer terms in page text: franchise",15,7,92,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, brand, shop, franchise; ecommerce platform detected: shopify; buying signals: ecommerce_active, operations_scale",,,customercare.pk@bata.com,mx_valid,042-32761261,https://www.linkedin.com/company/batahomepk,,"ecommerce_active: add to cart, shop now; operations_scale: nationwide",based in Islamabad; sells online; operates multiple branches/outlets; runs on shopify,osm,https://www.openstreetmap.org/node/7974981974,2026-09-17T13:08:51+00:00,true,not_queued,,,,
lead_a938d5e43055,retail-isb-001,pehchan mall,pehchanmall.com.pk,https://pehchanmall.com.pk/,Pakistan,Islamabad,,shop=clothes,Pehchan Mall,BUYER,65,"discovery category 'shop=clothes' matches campaign target; buyer terms in page text: store, shop, outlet, clothing, fashion",15,8,90,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, shop, outlet, clothing; only a generic business mailbox is public; ecommerce platform detected: shopify; buying signals: ecommerce_active, operations_scale; pain signals: delivery_issues",,,info@pehchanmall.com.pk,generic,,,delivery_issues: order tracking,ecommerce_active: shop now; operations_scale: outlets,based in Islamabad; sells online; operates multiple branches/outlets; runs on shopify,osm+search,https://www.openstreetmap.org/node/1414238165,2026-09-17T13:10:12+00:00,true,not_queued,,,,
lead_e7b06a1e89f3,retail-isb-001,Servis,servis.com,https://servis.pk/,Pakistan,Islamabad,"Chandni Chowk Flyover, Main Murree Road, راولپنڈی",shop=shoes,"Welcome to Servis Shoes Official Online Store in Pakistan! Shop a variety of footwear including sandals, chappals, heels, slippers, pumps, sports shoes, and formal & casual styles for men, women, girls, and kids. Available in all sizes and at the best prices. Enjoy online shopping in Lahore, Karachi, and Pakistan.",BUYER,65,"discovery category 'shop=shoes' matches campaign target; buyer terms in company identity: store, shop, online store; buyer terms in page text: retail, brand, franchise, fashion",15,7,89,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, shop, online store, retail; only a generic business mailbox is public; ecommerce platform detected: shopify; buying signals: ecommerce_active, operations_scale",,,customercare@servis.com,generic,+92 111-737-847,,,"ecommerce_active: checkout, track your order; operations_scale: outlets, nationwide",based in Islamabad; sells online; operates multiple branches/outlets; runs on shopify,osm,https://www.openstreetmap.org/node/7970981321,2026-09-17T13:08:48+00:00,true,not_queued,,,,
lead_1b2863558fc2,retail-isb-001,CSD,csd.gov.pk,https://www.csd.gov.pk/,Pakistan,Islamabad,,shop=supermarket,"Canteen Stores Department (CSD), Pakistan's largest retail chain with over 200+ stores nationwide. CSD offers a wide range of quality products, from groceries to electronics, at affordable prices, prioritizing convenience and welfare for Armed Forces personnel and customers.",BUYER,65,"discovery category 'shop=supermarket' matches campaign target; buyer terms in company identity: retail, store, electronics; buyer terms in page text: grocery",15,7,89,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: retail, store, electronics, grocery; only a generic business mailbox is public; ecommerce platform detected: woocommerce; buying signals: hiring, operations_scale",,,feedback@csd.gov.pk,generic,,,,"hiring: careers; operations_scale: outlets, nationwide",based in Islamabad; operates multiple branches/outlets; currently hiring; runs on woocommerce,osm,https://www.openstreetmap.org/node/8247995489,2026-09-17T13:08:51+00:00,true,not_queued,,,,
lead_b77c5eb2b322,retail-isb-001,Madina Cash & Carry,mcc.com.pk,https://mcc.com.pk/,Pakistan,Islamabad,Service Road East,shop=supermarket,Skip to content info@mcc.com.pk Mon-Sun: 9:00 AM - 11:00 PM Home About Us Brands Career Branches For Suppliers Tenders Home About Us Brands Career Branches For Suppliers Tenders call A Leading Retailer Chain Of Groceries and General Merchandise Who Best Prices in Town MCC has always acted in the bes,BUYER,65,"discovery category 'shop=supermarket' matches campaign target; buyer terms in company identity: retailer, brand; buyer terms in page text: retail, store, electronics, grocery",15,5,89,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: retailer, brand, retail, store; only a generic business mailbox is public; buying signals: hiring, operations_scale",,,info@mcc.com.pk,generic,(051) 2614042,https://www.linkedin.com/company/madina-cash-carry,,"hiring: vacancies, careers page exists; operations_scale: branches, warehouse",based in Islamabad; operates multiple branches/outlets; currently hiring,osm,https://www.openstreetmap.org/node/12754310602,2026-09-17T13:09:03+00:00,true,not_queued,,,,
lead_1eeb0e6cb424,retail-isb-001,Metro Shoes,metroshoes.com,https://www.metroshoes.com/,Pakistan,Islamabad,"Khayaban-e-Suhrwardy, اسلام آباد",shop=supermarket,Buy shoes online with ease at Metro Shoes. Enjoy seamless online shoes shopping and explore a wide range of trendy footwear for everyone. Shop now for the latest styles at the best prices in India.,BUYER,65,"discovery category 'shop=supermarket' matches campaign target; buyer terms in company identity: store, shop; buyer terms in page text: retailer, retail, brand, outlet, online store, fashion",12,10,89,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, shop, retailer, retail; quality notes: no public contact details; no usable email; ecommerce platform detected: shopify, woocommerce; buying signals: hiring, ecommerce_active, operations_scale",,,,none,,https://www.linkedin.com/company/kartmax,,"hiring: careers; ecommerce_active: add to cart, shop now; operations_scale: nationwide",based in Islamabad; sells online; operates multiple branches/outlets; currently hiring; runs on shopify,osm+search,https://www.openstreetmap.org/node/1414238186,2026-09-17T13:10:16+00:00,false,not_queued,,,,
lead_793def73800a,retail-isb-001,METRO cash & carry,metro.pk,https://www.metro.pk/,Pakistan,Islamabad,islamabad,shop=supermarket,Find all different grocery products with the best deals in town. Shop online or visit store to get the best discounts in Pakistan. Find a huge assortment of products at metro.,BUYER,62,"discovery category 'shop=supermarket' matches campaign target; buyer terms in company identity: store, shop, grocery; buyer terms in page text: retail, brand, e-commerce, electronics; buyer evidence outweighs weaker vendor mentions",15,5,87,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, shop, grocery, retail; minor vendor mentions present: for your business; buying signals: hiring, ecommerce_active",,,anjumhussain.shah@metro.pk,mx_valid,051-4020073,https://www.linkedin.com/company/metro-pakistan-pvt-limited,,hiring: careers; ecommerce_active: shop now,based in Islamabad; sells online; currently hiring,osm+search,https://www.openstreetmap.org/node/925162114,2026-09-17T13:09:28+00:00,true,not_queued,,,,
lead_a557bc615555,retail-isb-001,Bakala Super Store,bakala.store,https://bakala.store/,Pakistan,Islamabad,,shop=supermarket,"Skip to navigation Skip to content GROCERY ARDH AL AHLAM Delivering the Happiness at your doorstep.... Home Shop Vegetables Fruits Track Order About Us Contact Us Login / Register 0 About Us Home / About Us About Us​ Founded in 2021, Grocery Ardh Al Ahlam is one of the leading Grocery Store in Al Nu",BUYER,65,"discovery category 'shop=supermarket' matches campaign target; buyer terms in company identity: store, shop, grocery; buyer terms in page text: electronics",15,7,87,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, shop, grocery, electronics; no usable email; ecommerce platform detected: woocommerce; buying signals: expansion, ecommerce_active",,,,none,+971 564451611,,,"expansion: expanding; ecommerce_active: add to cart, shop now",based in Islamabad; sells online; recently expanding; runs on woocommerce,osm+search,https://www.openstreetmap.org/node/1363366616,2026-09-17T13:09:40+00:00,false,not_queued,,,,
lead_04b8477dd32e,retail-isb-001,outfitters,outfitters.com.pk,https://outfitters.com.pk/,Pakistan,Islamabad,"04235467243, Commercial Market",shop=clothes,"Welcome to the official Outfitters online store. Shop new arrivals & latest trends for men, women and juniors online.",BUYER,65,"discovery category 'shop=clothes' matches campaign target; buyer terms in company identity: store, shop, online store; buyer terms in page text: retail, brand, fashion",15,4,86,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, shop, online store, retail; only a generic business mailbox is public; ecommerce platform detected: shopify; buying signals: ecommerce_active",,,contactus@outfitters.com.pk,generic,+92-42-111-11 6387,,,"ecommerce_active: checkout, track your order",based in Islamabad; sells online; runs on shopify,osm,https://www.openstreetmap.org/node/4774743721,2026-09-17T13:08:42+00:00,true,not_queued,,,,
lead_7887ef14a504,retail-isb-001,Japan Electronics,japanelectronics.com.pk,https://japanelectronics.com.pk/,Pakistan,Islamabad,"Gul Noor Market, Near Naz Cinema, Murree Rd, rawalpindi, 46300",shop=supermarket,"Japan Electronics | Find the Best Home Appliances like AC Inverters, Refrigerators, Geysers. Hoods and Hobs, Ovens, LED TV, Air Fryer, Washing Machine, Kitchen Appliances with best prices in Pakistan.",BUYER,62,"discovery category 'shop=supermarket' matches campaign target; buyer terms in company identity: store, shop, electronics; buyer terms in page text: franchise; buyer evidence outweighs weaker vendor mentions",15,4,85,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, shop, electronics, franchise; minor vendor mentions present: trusted by; only a generic business mailbox is public; ecommerce platform detected: shopify; buying signals: operations_scale",,,info@japanelectronics.pk,generic,+92 326 8397802,https://www.linkedin.com/company/japan-electronics,,"operations_scale: branches, nationwide",based in Islamabad; operates multiple branches/outlets; runs on shopify,osm,https://www.openstreetmap.org/node/13383138851,2026-09-17T13:09:02+00:00,true,not_queued,,,,
lead_a6aa94cab1c6,retail-isb-001,ElectricStorePk Electric Store,electricstore.pk,https://electricstore.pk/,Pakistan,Islamabad,"B-1, Main Soan Avenue, اسلام آباد, 45750",shop=supermarket,Select a category Select a category Uncategorized (2) ELECTRONICS (1) FAN (1) Search Search electricstore.pk Contact now : +923065551150 No results found You can try clearing any filters or head to our store’s home Wahid Fan Inverter fan Hot Water Tap free delivery free shipping on all order big sav,BUYER,65,"discovery category 'shop=supermarket' matches campaign target; buyer terms in company identity: store, shop, fashion, electronics; buyer terms in page text: ecommerce",10,4,82,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, shop, fashion, electronics; quality notes: single-page site; ecommerce platform detected: woocommerce; buying signals: ecommerce_active",,,electricdukan.pk@gmail.com,mx_valid,+923065551150,,,ecommerce_active: free shipping,based in Islamabad; sells online; runs on woocommerce,osm,https://www.openstreetmap.org/node/8326649745,2026-09-17T13:09:03+00:00,true,not_queued,,,,
lead_858d065c4931,retail-isb-001,Save Mart,savemartonline.com,https://savemartonline.com/,Pakistan,Islamabad,"Rawalpindi, Punjab, Pakistan",shop=supermarket,Save Mart Online Pakistan is Providing Quality Products on reasonable prices to their customers at their door step all over Pakistan.,BUYER,65,"discovery category 'shop=supermarket' matches campaign target; buyer terms in company identity: shop, clothing, fashion, grocery; buyer terms in page text: brand",10,4,81,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: shop, clothing, fashion, grocery; quality notes: single-page site; only a generic business mailbox is public; ecommerce platform detected: woocommerce; buying signals: ecommerce_active",,,info@savemartonline.com,generic,,,,"ecommerce_active: add to cart, shop now",based in Islamabad; sells online; runs on woocommerce,osm+search,https://www.openstreetmap.org/node/1363495897,2026-09-17T13:09:44+00:00,true,not_queued,,,,
