lead_id,campaign_id,company_name,domain,website,country,city,address,industry,company_description,company_type,buyer_fit_score,buyer_fit_reason,company_quality_score,buying_signal_score,total_score,score_reason,contact_name,contact_role,contact_email,email_status,phone,linkedin_or_public_profile_url,pain_signal,buying_signal,personalization_hook,source,source_url,scraped_at,outreach_ready,sequence_status,email_1_sent_at,followup_1_at,followup_2_at,reply_status
lead_71f99ae5da30,retail-isb-001,CSD,csd.gov.pk,https://www.csd.gov.pk/,Pakistan,Islamabad,,shop=supermarket,"Canteen Stores Department (CSD), Pakistan's largest retail chain with over 200+ stores nationwide. CSD offers a wide range of quality products, from groceries to electronics, at affordable prices, prioritizing convenience and welfare for Armed Forces personnel and customers.",BUYER,65,"discovery category 'shop=supermarket' matches campaign target; buyer terms in company identity: retail, store, electronics; buyer terms in page text: grocery",15,7,90,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: retail, store, electronics, grocery; ecommerce platform detected: woocommerce; buying signals: hiring, operations_scale",,,feedback@csd.gov.pk,mx_valid,,,,"hiring: careers; operations_scale: outlets, nationwide",based in Islamabad; operates multiple branches/outlets; currently hiring; runs on woocommerce,osm,https://www.openstreetmap.org/node/8247995489,2026-09-17T12:39:38+00:00,true,not_queued,,,,
lead_60573b5328b8,retail-isb-001,Madina Cash & Carry,mcc.com.pk,https://mcc.com.pk/,Pakistan,Islamabad,Service Road East,shop=supermarket,Skip to content info@mcc.com.pk Mon-Sun: 9:00 AM - 11:00 PM Home About Us Brands Career Branches For Suppliers Tenders Home About Us Brands Career Branches For Suppliers Tenders call A Leading Retailer Chain Of Groceries and General Merchandise Who Best Prices in Town MCC has always acted in the bes,BUYER,65,"discovery category 'shop=supermarket' matches campaign target; buyer terms in company identity: retailer, brand; buyer terms in page text: retail, store, electronics, grocery",15,5,89,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: retailer, brand, retail, store; only a generic business mailbox is public; buying signals: hiring, operations_scale",,,info@mcc.com.pk,generic,(051) 2614042,https://www.linkedin.com/company/madina-cash-carry,,"hiring: vacancies, careers page exists; operations_scale: branches, warehouse",based in Islamabad; operates multiple branches/outlets; currently hiring,osm,https://www.openstreetmap.org/node/12754310602,2026-09-17T12:39:54+00:00,true,not_queued,,,,
lead_894a409506d3,retail-isb-001,outfitters,outfitters.com.pk,https://outfitters.com.pk/,Pakistan,Islamabad,"04235467243, Commercial Market",shop=clothes,"Welcome to the official Outfitters online store. Shop new arrivals & latest trends for men, women and juniors online.",BUYER,65,"discovery category 'shop=clothes' matches campaign target; buyer terms in company identity: store, shop, online store; buyer terms in page text: retail, brand, fashion",15,4,87,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, shop, online store, retail; ecommerce platform detected: shopify; buying signals: ecommerce_active",,,contactus@outfitters.com.pk,mx_valid,+92-42-111-11 6387,,,"ecommerce_active: checkout, track your order",based in Islamabad; sells online; runs on shopify,osm,https://www.openstreetmap.org/node/4774743721,2026-09-17T12:39:31+00:00,true,not_queued,,,,
lead_e0accca9c5a4,retail-isb-001,Bata,bata.com.pk,https://www.bata.com.pk/,Pakistan,راولپنڈی,"Chandni Chowk Flyover, Main Murree Road, راولپنڈی",shop=shoes,"Discover Bata – Pakistan's Favorite Footwear Brand and trusted destination for premium quality footwear, bags, and accessories for men, women, and children. Explore timeless designs, exceptional comfort, and nationwide delivery. Shop online or visit your nearest Bata store today.",BUYER,55,"discovery category 'shop=shoes' matches campaign target; buyer terms in company identity: store, brand, shop; buyer terms in page text: franchise",15,7,82,"in target country (Pakistan); city 'راولپنڈی' not in campaign list; 4 ICP term(s) matched: store, brand, shop, franchise; ecommerce platform detected: shopify; buying signals: ecommerce_active, operations_scale",,,customercare.pk@bata.com,mx_valid,042-32761261,https://www.linkedin.com/company/batahomepk,,"ecommerce_active: add to cart, shop now; operations_scale: nationwide",based in راولپنڈی; sells online; operates multiple branches/outlets; runs on shopify,osm,https://www.openstreetmap.org/node/7974981974,2026-09-17T12:39:41+00:00,true,not_queued,,,,
lead_98db3906a341,retail-isb-001,Servis,servis.com,https://servis.pk/,Pakistan,راولپنڈی,"Chandni Chowk Flyover, Main Murree Road, راولپنڈی",shop=shoes,"Welcome to Servis Shoes Official Online Store in Pakistan! Shop a variety of footwear including sandals, chappals, heels, slippers, pumps, sports shoes, and formal & casual styles for men, women, girls, and kids. Available in all sizes and at the best prices. Enjoy online shopping in Lahore, Karachi, and Pakistan.",BUYER,55,"discovery category 'shop=shoes' matches campaign target; buyer terms in company identity: store, shop, online store; buyer terms in page text: retail, brand, franchise, fashion",15,7,80,"in target country (Pakistan); city 'راولپنڈی' not in campaign list; 4 ICP term(s) matched: store, shop, online store, retail; ecommerce platform detected: shopify; buying signals: ecommerce_active, operations_scale",,,customercare@servis.com,mx_valid,+92 111-737-847,,,"ecommerce_active: checkout, track your order; operations_scale: outlets, nationwide",based in راولپنڈی; sells online; operates multiple branches/outlets; runs on shopify,osm,https://www.openstreetmap.org/node/7970981321,2026-09-17T12:39:43+00:00,true,not_queued,,,,
lead_a5ad88d774d8,retail-isb-001,Family Cash n Carry,familycashandcarry.com,https://www.familycashandcarry.com/,Pakistan,اسلام آباد,"Golra Road, اسلام آباد, 45210",shop=supermarket,Account Compare Wishlist 0 Cart Categories AEROSOLS / INSECTICIDES AIR FRESHNER BABY CARE BABY FOODS BAKERY BISCUITS BAKING ESSENTIALS BEVERAGES BIRTHDAY ITEMS Biscuits & Cookies CARE PRODUCT CEREALS CEREALS / DESSERTS COLOUR COSMETICS MAKEUP ITEMS CONFECTIONERY COSMETICS COUNTER BAG CROCKERY CUTICA,BUYER,55,"discovery category 'shop=supermarket' matches campaign target; buyer terms in company identity: electronics, cosmetics; buyer terms in page text: retail, store, shop, grocery",15,4,79,"in target country (Pakistan); city 'اسلام آباد' not in campaign list; 4 ICP term(s) matched: electronics, cosmetics, retail, store; decision-maker found: BIRTHDAY ITEMS (Biscuits & Cookies); no usable email; ecommerce platform detected: woocommerce; buying signals: ecommerce_active",BIRTHDAY ITEMS,Biscuits & Cookies,,none,03320006675,,,"ecommerce_active: add to cart, track your order",based in اسلام آباد; sells online; runs on woocommerce,osm,https://www.openstreetmap.org/node/9080282414,2026-09-17T12:40:15+00:00,false,not_queued,,,,
lead_40414ddfaaf4,retail-isb-001,ElectricStorePk Electric Store,electricstore.pk,https://electricstore.pk/,Pakistan,اسلام آباد,"B-1, Main Soan Avenue, اسلام آباد, 45750",shop=supermarket,Select a category Select a category Uncategorized (2) ELECTRONICS (1) FAN (1) Search Search electricstore.pk Contact now : +923065551150 No results found You can try clearing any filters or head to our store’s home Wahid Fan Inverter fan Hot Water Tap free delivery free shipping on all order big sav,BUYER,55,"discovery category 'shop=supermarket' matches campaign target; buyer terms in company identity: store, shop, fashion, electronics; buyer terms in page text: ecommerce",10,4,72,"in target country (Pakistan); city 'اسلام آباد' not in campaign list; 4 ICP term(s) matched: store, shop, fashion, electronics; quality notes: single-page site; ecommerce platform detected: woocommerce; buying signals: ecommerce_active",,,electricdukan.pk@gmail.com,mx_valid,+923065551150,,,ecommerce_active: free shipping,based in اسلام آباد; sells online; runs on woocommerce,osm,https://www.openstreetmap.org/node/8326649745,2026-09-17T12:39:54+00:00,true,not_queued,,,,
lead_2516f299c968,retail-isb-001,Www.sharifinternational.net,sharifinternational.net,https://sharifinternational.net/,Pakistan,راولپنڈی,"151-A, St. No. 8, Chaklala Scheme 3,, راولپنڈی",shop=electronics,"MEET THE PIONEERS IN RENEWABLES SHARIF INTERNATIONAL At Sharif International, we don’t just deliver solar power solutions; we redefine what exceptional service",BUYER,40,"discovery category 'shop=electronics' matches campaign target; vendor terms in page text: consulting, listing; buyer terms in page text: brand, shop; buyer evidence outweighs weaker vendor mentions",15,0,63,"in target country (Pakistan); city 'راولپنڈی' not in campaign list; 2 ICP term(s) matched: brand, shop; minor vendor mentions present: consulting, listing, our clients; decision-maker found: Hasnat Ahmed Qureshi (Director Technical & Operations); only a generic business mailbox is public",Hasnat Ahmed Qureshi,Director Technical & Operations,team@serpnames.com,generic,+92 51 610 1934,https://www.linkedin.com/in/hasnatqureshi,,,based in راولپنڈی,osm,https://www.openstreetmap.org/node/2426206005,2026-09-17T12:39:26+00:00,false,not_queued,,,,
lead_d57b6189eaa5,retail-isb-001,Malik Hitech,business.site,https://malik-hi-tech.business.site/,Pakistan,Islamabad,,shop=electronics,,BUYER,44,discovery category 'shop=electronics' matches campaign target,0,0,44,in target country (Pakistan); in target city (Islamabad); website unreachable; quality notes: website unreachable (status_404); no public contact details; no usable email,,,,none,0515125533,,,,based in Islamabad,osm,https://www.openstreetmap.org/node/7256367285,2026-09-17T12:39:26+00:00,false,not_queued,,,,
lead_4d904118f3f4,retail-isb-001,Rani Emaan's,raniemaans.com.pk,https://raniemaans.com.pk/,Pakistan,Islamabad,,shop=clothes,,BUYER,44,discovery category 'shop=clothes' matches campaign target,0,0,44,in target country (Pakistan); in target city (Islamabad); website unreachable; quality notes: website unreachable (http_error:ConnectError); no public contact details; no usable email,,,info@raniemaans.com.pk,invalid,+ 92 300 511 1986,,,,based in Islamabad,osm,https://www.openstreetmap.org/node/6446723015,2026-09-17T12:39:38+00:00,false,not_queued,,,,
