lead_id,campaign_id,company_name,domain,website,country,city,address,industry,company_description,company_type,buyer_fit_score,buyer_fit_reason,company_quality_score,buying_signal_score,total_score,score_reason,contact_name,contact_role,contact_email,email_status,phone,linkedin_or_public_profile_url,pain_signal,buying_signal,personalization_hook,source,source_url,scraped_at,outreach_ready,sequence_status,email_1_sent_at,followup_1_at,followup_2_at,reply_status
lead_8b1e999b99c2,retail-isb-001,RBS Interiors,rbsinteriors.com,https://rbsinteriors.com/,Pakistan,Islamabad,"Malik Plaza, Main Golra Rd, near Railway Road, opposite CMT, H-13",overture=furniture_store,Explore top-quality Office furniture including office chairs bedroom furniture & Restaurant Furniture custom kitchen & door designs in Pakistan.,BUYER,65,"discovery category 'overture=furniture_store' matches campaign target; buyer terms in company identity: furniture; buyer terms in page text: store, brand, shop, online store, e-commerce",15,8,97,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: furniture, store, brand, shop; decision-maker found: Mark Jance (CEO / FOUNDER); mobile number published (owner-level contact); ecommerce platform detected: woocommerce; young domain (0.9 y): new or recently relaunched business; buying signals: ecommerce_active; pain signals: customer_service_load",Mark Jance,CEO / FOUNDER,rbsinteriorsofficial@gmail.com,mx_valid,+923099777970,,customer_service_load: whatsapp us,"ecommerce_active: add to cart, shop now",based in Islamabad; sells online; runs on woocommerce; takes orders over WhatsApp/DM; recently launched online,overture,https://explore.overturemaps.org/#97b7acdd-417b-44d1-8b3e-43c0cf3b7b4c,2026-09-25T15:02:54+00:00,true,queued,,,,
lead_27b0dc3edc73,retail-isb-001,Ittefaq Electronics,ittefaqsay.com,https://ittefaqsay.com/,Pakistan,Islamabad,,overture=electronics_store,Haier HWM 85-826 Grey 8.5 Kg Fully Automatic Washing Machine · Haier HWM 85-826 E Fully Automatic Washing Machine 8.5 Kg · Dawlance DWSM 2971 B Sandwich Maker.,BUYER,65,"discovery category 'overture=electronics_store' matches campaign target; buyer terms in company identity: electronics; buyer terms in page text: retail, store, brand, shop, online store",15,10,92,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: electronics, retail, store, brand; only a generic business mailbox is public; mobile number published (owner-level contact); ecommerce platform detected: woocommerce; intent: rfq – …cart Compare Quick view Add to wishlist Haier HSU; buying signals: hiring, ecommerce_active, operations_scale, intent",,,sales@ittefaqsay.com,generic,03099991959,,,"hiring: careers; ecommerce_active: add to cart, shop now; operations_scale: branches, outlets; intent: rfq: …cart Compare Quick view Add to wishlist Haier HSU-19RFP 1.5",based in Islamabad; sells online; operates multiple branches/outlets; currently hiring; runs on woocommerce; has a live request for quotations,overture,https://explore.overturemaps.org/#a2101bd0-f231-4d3c-9a64-de0cdbd3044a,2026-09-25T14:57:52+00:00,true,queued,,,,
lead_6788f9a32e8e,retail-isb-001,Rakht Clothing Store,rakht.com.pk,https://rakht.com.pk/,Pakistan,Islamabad,,overture=fashion_and_apparel_store,"Rakht offers premium unstitched Lawn Dresses, Linen, Marina & Chikan Kari women’s fabric in Pakistan. Shop elegant Pakistani women clothing with latest designs & quality fabric.",BUYER,62,"discovery category 'overture=fashion_and_apparel_store' matches campaign target; buyer terms in company identity: store, shop, clothing; buyer terms in page text: brand, fashion; buyer evidence outweighs weaker vendor mentions",15,7,92,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, shop, clothing, brand; minor vendor mentions present: our clients; decision-maker found: NOOR HABIB (CEO); only a generic business mailbox is public; mobile number published (owner-level contact); ecommerce platform detected: shopify; buying signals: ecommerce_active, operations_scale",NOOR HABIB,CEO,info@rakht.com.pk,generic,0300 1172548,,,"ecommerce_active: add to cart, shop now; operations_scale: nationwide, warehouse",based in Islamabad; sells online; operates multiple branches/outlets; runs on shopify,overture,https://explore.overturemaps.org/#e219d946-042e-4dc2-991b-a072774cf8b8,2026-09-25T15:01:51+00:00,true,queued,,,,
lead_fa56efff8a69,retail-isb-001,Heart Beat Lawrencepur (Suiting & Fabric's),lawrencepur.com,https://lawrencepur.com/,Pakistan,Islamabad,Shop no 1/c Barkat plaza bank road Saddar Rawalpindi Bank Road Saddar,overture=clothing_store,"Shop men&#39;s formal suits, Shalwar Kameez and premium fabrics from Lawrencepur. Discover refined menswear and luxury tailoring for every occasion.",BUYER,65,"discovery category 'overture=clothing_store' matches campaign target; buyer terms in company identity: brand, shop, clothing; buyer terms in page text: retail, store, online store",15,7,91,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: brand, shop, clothing, retail; only a generic business mailbox is public; mobile number published (owner-level contact); ecommerce platform detected: shopify; buying signals: ecommerce_active, operations_scale",,,customercare@lawrencepur.com,generic,0309-2220061,https://linkedin.com/company/lawrencepurofficial,,"ecommerce_active: shop now, checkout; operations_scale: across pakistan",based in Islamabad; sells online; operates multiple branches/outlets; runs on shopify,overture,https://explore.overturemaps.org/#81c7445a-54f2-465d-90db-2caec08dc2f2,2026-09-25T14:59:12+00:00,true,queued,,,,
lead_3d4c10363ab1,retail-isb-001,Imtiaz Mega - Gulberg Greens - Islamabad,imtiaz.com.pk,https://imtiaz.com.pk/,Pakistan,Islamabad,"Round About, Islamabad Expy",overture=department_store,"We offer a convenient shopping experience, allowing you to buy everything under one roof, from everyday essentials to countless more products at the best prices in town.",BUYER,65,"discovery category 'overture=department_store' matches campaign target; buyer terms in company identity: retail, shop; buyer terms in page text: store, electronics, grocery",15,7,91,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: retail, shop, store, electronics; only a generic business mailbox is public; ecommerce platform detected: woocommerce; buying signals: hiring, operations_scale",,,hello@imtiaz.com.pk,generic,+9221111468429,https://www.linkedin.com/company/imtiazstores,,hiring: careers; operations_scale: branches,based in Islamabad; operates multiple branches/outlets; currently hiring; runs on woocommerce,overture,https://explore.overturemaps.org/#8891a239-af15-485b-a9e4-ad5d6fa74b6c,2026-09-25T15:00:34+00:00,true,queued,,,,
lead_9b4340061fc8,retail-isb-001,Al-Noor Bazaar,alnoorbazaar.com,https://alnoorbazaar.com/,Pakistan,Islamabad,"Al Noor Traders, near Amar Pak, Murree Road",overture=furniture_store,"Discover quality furniture for your home, office, school at Al-Noor Bazaar. Budget-friendly prices, bulk deals and delivery across Pakistan with easy payment options",BUYER,65,"discovery category 'overture=furniture_store' matches campaign target; buyer terms in company identity: store, shop, furniture; buyer terms in page text: brand, outlet",15,8,90,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, shop, furniture, brand; only a generic business mailbox is public; mobile number published (owner-level contact); ecommerce platform detected: woocommerce; buying signals: ecommerce_active, operations_scale; pain signals: customer_service_load",,,info@alnoorbazaar.com,generic,+92 3125171827,,customer_service_load: whatsapp us,"ecommerce_active: add to cart, checkout; operations_scale: across pakistan",based in Islamabad; sells online; operates multiple branches/outlets; runs on woocommerce; takes orders over WhatsApp/DM,overture,https://explore.overturemaps.org/#bf0c427b-d71e-4d95-956c-d510226f6bfc,2026-09-25T15:01:41+00:00,true,queued,,,,
lead_2e11e6d32f8c,retail-isb-001,Joycelyn Fashion,joycelynfashion.com,https://joycelynfashion.com/,Pakistan,Islamabad,"Joycelyn Fashion Vista Center, Ground Floor. I-8 Markaz, Islamabad, Pakistan",overture=clothing_store,"Winter Collection Discover our New Winter Collection, crafted to keep you warm in style. Soft textures, cozy layers, and elegant designs come…",BUYER,65,"discovery category 'overture=clothing_store' matches campaign target; buyer terms in company identity: shop, clothing, fashion; buyer terms in page text: store, brand, boutique",15,8,90,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: shop, clothing, fashion, store; only a generic business mailbox is public; mobile number published (owner-level contact); ecommerce platform detected: woocommerce; buying signals: ecommerce_active, operations_scale; pain signals: customer_service_load",,,care@joycelynfashion.com,generic,+92 300 000 0000,,customer_service_load: whatsapp us,"ecommerce_active: shop now, checkout; operations_scale: nationwide, across pakistan",based in Islamabad; sells online; operates multiple branches/outlets; runs on woocommerce; takes orders over WhatsApp/DM,overture,https://explore.overturemaps.org/#e5582a38-bb93-4149-925d-608153979577,2026-09-25T15:06:37+00:00,true,not_queued,,,,
lead_c3f54c064ece,retail-isb-001,Umar Electronics,umarelectronics.pk,https://umarelectronics.pk/,Pakistan,Islamabad,Murree Rd,overture=electronics_store,"Umarelectronics is a leading online electronics shop offering a diverse range of original products in twin cities, Rawalpindi and Islamabad.",BUYER,62,"discovery category 'overture=electronics_store' matches campaign target; buyer terms in company identity: store, shop, electronics; buyer terms in page text: retail, brand, showroom, clothing; buyer evidence outweighs weaker vendor mentions",15,10,89,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: store, shop, electronics, retail; minor vendor mentions present: portfolio; only a generic business mailbox is public; mobile number published (owner-level contact); ecommerce platform detected: woocommerce; buying signals: expansion, ecommerce_active, operations_scale; pain signals: customer_service_load",,,info@umarelectronics.pk,generic,0311-7862200,,customer_service_load: whatsapp us,expansion: expanding; ecommerce_active: add to cart; operations_scale: across pakistan,based in Islamabad; sells online; operates multiple branches/outlets; recently expanding; runs on woocommerce; takes orders over WhatsApp/DM,overture,https://explore.overturemaps.org/#0855bf71-731c-4e54-86eb-615b305bd5af,2026-09-25T15:01:09+00:00,true,queued,,,,
lead_e965e753c8fa,retail-isb-001,Kiddo Furniture Showroom,kiddo.pk,https://kiddo.pk/,Pakistan,Islamabad,kiddo kids furniture lucky plaza service road sohan stop faizabad expresway ,overture=furniture_store,"Shop premium kids wear in Pakistan at Kiddo. Buy stylish, comfortable, and high-quality clothing for kids, designed with love for everyday wear, special occasions, and modern little trends.",BUYER,65,"discovery category 'overture=furniture_store' matches campaign target; buyer terms in company identity: retail, shop, showroom, clothing, furniture; buyer terms in page text: brand, fashion",15,7,89,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: retail, shop, showroom, clothing; only a generic business mailbox is public; mobile number published (owner-level contact); ecommerce platform detected: shopify; buying signals: ecommerce_active, operations_scale",,,sales@kiddo.pk,generic,0311-1101539,,,"ecommerce_active: add to cart, checkout; operations_scale: nationwide, across pakistan",based in Islamabad; sells online; operates multiple branches/outlets; runs on shopify,overture,https://explore.overturemaps.org/#bd1bc7ad-5681-48b1-b226-0d0260ae46d4,2026-09-25T15:05:36+00:00,true,not_queued,,,,
lead_e853f09deb39,retail-isb-001,Lahore Cloth Depot,lahorecloth.com,https://lahorecloth.com/,Pakistan,Islamabad,Asghar Mall Rd,overture=clothing_store,"Buy original branded lawn suits, branded wedding dresses, casual and festive suits. Pakistani latest branded collections Maria B suits, Elan suits, Charizma suits, Zara Shahjahan suits, Zellbury suits, Limeligh suits and many other famous brands collections.",BUYER,65,"discovery category 'overture=clothing_store' matches campaign target; buyer terms in company identity: shop, fashion; buyer terms in page text: store, clothing",15,4,88,"in target country (Pakistan); in target city (Islamabad); 4 ICP term(s) matched: shop, fashion, store, clothing; mobile number published (owner-level contact); ecommerce platform detected: shopify; buying signals: ecommerce_active",,,%20lahoreclothdepotofficial@gmail.com,mx_valid,+92 318 966 6345,,,"ecommerce_active: add to cart, free shipping",based in Islamabad; sells online; runs on shopify,overture,https://explore.overturemaps.org/#e08108c3-8da8-4603-ae6c-8153a56ad43e,2026-09-25T15:01:15+00:00,true,queued,,,,
